frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
40551,1787931524.716640100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40552,1787931524.716641600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40553,1787931524.716642800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40554,1787931524.716644000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40555,1787931524.716644900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40556,1787931524.716645900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40557,1787931524.716646900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40558,1787931524.716924600,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40559,1787931524.728606000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40560,1787931524.728607700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40561,1787931524.728609200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40562,1787931524.729219100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40563,1787931524.729221000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40564,1787931524.729233400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40565,1787931524.729234700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40566,1787931524.729236300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40567,1787931524.729237700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
